n,algorithm,time_ms,char_comparisons,input_type
2900,MSD Radix + QS,1.294,16382,random
3000,std::sort,4.409,142700,random
3000,StringMergeSort,6.605,75384,random
3000,StringQuickSort,1.427,33476,random
3000,MSD Radix,11.026,7211,random
3000,MSD Radix + QS,1.394,17032,random
100,std::sort,0.059,1051,reverse
100,StringMergeSort,0.210,1033,reverse
100,StringQuickSort,0.042,1078,reverse
100,MSD Radix,0.389,242,reverse
100,MSD Radix + QS,0.103,1692,reverse
200,std::sort,0.064,1865,reverse
200,StringMergeSort,0.277,2299,reverse
200,StringQuickSort,0.131,3038,reverse
200,MSD Radix,1.009,490,reverse
200,MSD Radix + QS,0.217,3415,reverse
300,std::sort,0.076,2258,reverse
300,StringMergeSort,0.474,3602,reverse
300,StringQuickSort,0.167,4199,reverse
300,MSD Radix,1.160,728,reverse
300,MSD Radix + QS,0.253,4989,reverse
400,std::sort,0.097,2392,reverse
400,StringMergeSort,0.586,5022,reverse
400,StringQuickSort,0.230,6037,reverse
400,MSD Radix,1.519,976,reverse
400,MSD Radix + QS,0.318,6635,reverse
500,std::sort,0.113,2990,reverse
500,StringMergeSort,0.728,6157,reverse
500,StringQuickSort,0.315,8650,reverse
500,MSD Radix,1.862,1219,reverse
500,MSD Radix + QS,0.403,8321,reverse
600,std::sort,0.127,3177,reverse
600,StringMergeSort,0.894,7830,reverse
600,StringQuickSort,0.414,11250,reverse
600,MSD Radix,2.231,1463,reverse
600,MSD Radix + QS,0.466,9725,reverse
700,std::sort,0.146,3815,reverse
700,StringMergeSort,1.058,9400,reverse
700,StringQuickSort,0.494,13679,reverse
700,MSD Radix,2.653,1713,reverse
700,MSD Radix + QS,0.561,11639,reverse
800,std::sort,0.159,3844,reverse
800,StringMergeSort,1.230,10819,reverse
800,StringQuickSort,0.594,16336,reverse
800,MSD Radix,2.987,1948,reverse
800,MSD Radix + QS,0.636,13532,reverse
900,std::sort,0.176,4134,reverse
900,StringMergeSort,1.384,12114,reverse
900,StringQuickSort,0.725,19868,reverse
900,MSD Radix,3.303,2185,reverse
900,MSD Radix + QS,0.715,15375,reverse
1000,std::sort,0.274,6919,reverse
1000,StringMergeSort,1.631,13338,reverse
1000,StringQuickSort,0.864,23516,reverse
1000,MSD Radix,3.864,2423,reverse
1000,MSD Radix + QS,0.847,17348,reverse
1100,std::sort,0.316,7400,reverse
1100,StringMergeSort,1.788,15031,reverse
1100,StringQuickSort,0.997,26870,reverse
1100,MSD Radix,4.087,2661,reverse
1100,MSD Radix + QS,0.912,19223,reverse
1200,std::sort,0.321,7975,reverse
1200,StringMergeSort,2.006,16944,reverse
1200,StringQuickSort,1.220,31691,reverse
1200,MSD Radix,4.565,2927,reverse
1200,MSD Radix + QS,0.956,20567,reverse
1300,std::sort,0.337,8385,reverse
1300,StringMergeSort,2.098,18542,reverse
1300,StringQuickSort,1.276,35252,reverse
1300,MSD Radix,4.880,3169,reverse
1300,MSD Radix + QS,1.050,22193,reverse
1400,std::sort,0.361,8952,reverse
1400,StringMergeSort,2.275,20171,reverse
1400,StringQuickSort,1.440,39905,reverse
1400,MSD Radix,5.491,3427,reverse
1400,MSD Radix + QS,1.177,23786,reverse
1500,std::sort,0.402,9489,reverse
1500,StringMergeSort,2.554,21688,reverse
1500,StringQuickSort,1.619,43802,reverse
1500,MSD Radix,5.795,3655,reverse
1500,MSD Radix + QS,1.223,25372,reverse
1600,std::sort,0.420,9917,reverse
1600,StringMergeSort,2.729,23262,reverse
1600,StringQuickSort,1.795,49512,reverse
1600,MSD Radix,6.088,3916,reverse
1600,MSD Radix + QS,1.257,26894,reverse
1700,std::sort,0.432,10515,reverse
1700,StringMergeSort,2.812,24661,reverse
1700,StringQuickSort,1.933,53483,reverse
1700,MSD Radix,6.434,4157,reverse
1700,MSD Radix + QS,1.328,28524,reverse
1800,std::sort,0.446,10591,reverse
1800,StringMergeSort,3.114,26016,reverse
1800,StringQuickSort,2.169,58211,reverse
1800,MSD Radix,7.025,4400,reverse
1800,MSD Radix + QS,1.458,29988,reverse
1900,std::sort,0.482,11647,reverse
1900,StringMergeSort,3.344,27373,reverse
1900,StringQuickSort,2.396,64450,reverse
1900,MSD Radix,7.076,4629,reverse
1900,MSD Radix + QS,1.525,31777,reverse
2000,std::sort,0.493,12066,reverse
2000,StringMergeSort,3.315,28557,reverse
2000,StringQuickSort,2.510,69633,reverse
2000,MSD Radix,7.422,4873,reverse
2000,MSD Radix + QS,1.624,33353,reverse
2100,std::sort,0.547,12745,reverse
2100,StringMergeSort,3.620,30234,reverse
2100,StringQuickSort,2.799,76111,reverse
2100,MSD Radix,8.009,5110,reverse
2100,MSD Radix + QS,1.735,35203,reverse
2200,std::sort,0.561,12958,reverse
2200,StringMergeSort,3.865,32249,reverse
2200,StringQuickSort,3.042,82876,reverse
2200,MSD Radix,8.121,5340,reverse
2200,MSD Radix + QS,1.714,36685,reverse
2300,std::sort,0.573,13460,reverse
2300,StringMergeSort,3.910,34282,reverse
2300,StringQuickSort,3.323,89539,reverse
2300,MSD Radix,8.816,5587,reverse
2300,MSD Radix + QS,1.883,38064,reverse
2400,std::sort,0.610,13693,reverse
2400,StringMergeSort,4.261,36290,reverse
2400,StringQuickSort,3.532,96227,reverse
2400,MSD Radix,8.695,5813,reverse
2400,MSD Radix + QS,1.869,40024,reverse
2500,std::sort,0.605,14692,reverse
2500,StringMergeSort,4.328,37868,reverse
2500,StringQuickSort,3.723,103242,reverse
2500,MSD Radix,9.430,6049,reverse
2500,MSD Radix + QS,2.022,41548,reverse
2600,std::sort,0.656,15520,reverse
2600,StringMergeSort,4.658,39670,reverse
2600,StringQuickSort,4.132,111636,reverse
2600,MSD Radix,9.343,6283,reverse
2600,MSD Radix + QS,2.021,43186,reverse
2700,std::sort,0.655,15404,reverse
2700,StringMergeSort,4.687,41650,reverse
2700,StringQuickSort,4.264,117943,reverse
2700,MSD Radix,9.706,6521,reverse
2700,MSD Radix + QS,2.166,44963,reverse
2800,std::sort,0.713,16231,reverse
2800,StringMergeSort,5.101,43081,reverse
2800,StringQuickSort,4.697,127558,reverse
2800,MSD Radix,10.300,6771,reverse
2800,MSD Radix + QS,2.185,46536,reverse
2900,std::sort,0.717,16719,reverse
2900,StringMergeSort,5.094,44823,reverse
2900,StringQuickSort,4.859,135631,reverse
2900,MSD Radix,10.788,7027,reverse
2900,MSD Radix + QS,2.360,48228,reverse
3000,std::sort,0.766,17283,reverse
3000,StringMergeSort,5.441,46184,reverse
3000,StringQuickSort,5.305,145088,reverse
3000,MSD Radix,10.843,7267,reverse
3000,MSD Radix + QS,2.366,50101,reverse
100,std::sort,0.030,954,almost_sorted
100,StringMergeSort,0.114,912,almost_sorted
100,StringQuickSort,0.031,740,almost_sorted
100,MSD Radix,0.355,237,almost_sorted
100,MSD Radix + QS,0.058,710,almost_sorted
200,std::sort,0.199,8778,almost_sorted
200,StringMergeSort,0.254,2271,almost_sorted
200,StringQuickSort,0.068,1712,almost_sorted
200,MSD Radix,0.682,475,almost_sorted
200,MSD Radix + QS,0.104,1443,almost_sorted
300,std::sort,0.309,12534,almost_sorted
300,StringMergeSort,0.414,3953,almost_sorted
300,StringQuickSort,0.116,2942,almost_sorted
300,MSD Radix,1.014,709,almost_sorted
300,MSD Radix + QS,0.153,2178,almost_sorted
400,std::sort,0.481,20129,almost_sorted
400,StringMergeSort,0.576,5389,almost_sorted
400,StringQuickSort,0.173,4427,almost_sorted
400,MSD Radix,1.410,956,almost_sorted
400,MSD Radix + QS,0.228,2999,almost_sorted
500,std::sort,0.556,21159,almost_sorted
500,StringMergeSort,0.767,7512,almost_sorted
500,StringQuickSort,0.239,6160,almost_sorted
500,MSD Radix,1.873,1200,almost_sorted
500,MSD Radix + QS,0.253,3720,almost_sorted
600,std::sort,0.694,25508,almost_sorted
600,StringMergeSort,0.930,9057,almost_sorted
600,StringQuickSort,0.319,8168,almost_sorted
600,MSD Radix,2.209,1437,almost_sorted
